FL_DATE,AIRLINE,AIRLINE_CODE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
8/10/2021,SkyWest Airlines Inc.,OO,"Lawton/Fort Sill, OK","Dallas/Fort Worth, TX",1641,1842.0,121.0,30.0,1912.0,1938.0,10.0,1732,1948.0,136.0,51.0,66.0,26.0,140,0.0,0.0,0.0,0.0,136.0,2
16/10/2021,American Airlines Inc.,AA,"Houston, TX","Chicago, IL",1128,1611.0,283.0,16.0,1627.0,1833.0,13.0,1412,1846.0,274.0,164.0,155.0,126.0,925,31.0,0.0,0.0,0.0,243.0,2
27/2/2021,JetBlue Airways,B6,"West Palm Beach/Palm Beach, FL","New York, NY",1145,1320.0,95.0,9.0,1329.0,1549.0,9.0,1427,1558.0,91.0,162.0,158.0,140.0,1028,91.0,0.0,0.0,0.0,0.0,2
9/4/2022,JetBlue Airways,B6,"San Diego, CA","Boston, MA",2035,2236.0,121.0,15.0,2251.0,646.0,3.0,506,649.0,103.0,331.0,313.0,295.0,2588,22.0,0.0,0.0,0.0,81.0,2
18/4/2019,ExpressJet Airlines LLC d/b/a aha!,EV,"Omaha, NE","Houston, TX",1300,1420.0,80.0,17.0,1437.0,1642.0,9.0,1526,1651.0,85.0,146.0,151.0,125.0,781,0.0,0.0,5.0,0.0,80.0,2
26/6/2019,American Airlines Inc.,AA,"Charlotte, NC","New York, NY",1005,1103.0,58.0,19.0,1122.0,1300.0,5.0,1202,1305.0,63.0,117.0,122.0,98.0,544,0.0,0.0,5.0,0.0,58.0,2
12/5/2022,Alaska Airlines Inc.,AS,"Kotzebue, AK","Anchorage, AK",1935,2049.0,74.0,23.0,2112.0,2226.0,4.0,2103,2230.0,87.0,88.0,101.0,74.0,548,0.0,0.0,13.0,0.0,74.0,2
22/6/2019,SkyWest Airlines Inc.,OO,"Denver, CO","Prescott, AZ",1845,2006.0,81.0,16.0,2022.0,2040.0,5.0,1935,2045.0,70.0,110.0,99.0,78.0,557,0.0,0.0,0.0,0.0,70.0,2
18/7/2019,Delta Air Lines Inc.,DL,"Chicago, IL","New York, NY",1945,2131.0,106.0,15.0,2146.0,19.0,7.0,2306,26.0,80.0,141.0,115.0,93.0,733,0.0,0.0,8.0,0.0,72.0,2
9/4/2023,United Air Lines Inc.,UA,"Palm Springs, CA","San Francisco, CA",1321,1724.0,243.0,17.0,1741.0,1844.0,5.0,1459,1849.0,230.0,98.0,85.0,63.0,421,6.0,0.0,0.0,0.0,224.0,2
