FL_DATE,AIRLINE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
31/8/2023,Spirit Air Lines,"Charlotte, NC","Boston, MA",2220,2304,44,23,2327,100,10,33,110,37,133,126,93,728,0,0,0,0,37,1
31/8/2023,Envoy Air,"Des Moines, IA","Chicago, IL",530,524,-6,18,542,634,7,654,641,-13,84,77,52,299,0,0,0,0,0,0
31/8/2023,Envoy Air,"Miami, FL","Pensacola, FL",1733,1734,1,37,1811,1829,4,1822,1833,11,109,119,78,530,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Washington, DC","Chicago, IL",1757,1800,3,24,1824,1854,17,1909,1911,2,132,131,90,612,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Austin, TX","Orlando, FL",1814,1805,-9,12,1817,2125,13,2200,2138,-22,166,153,128,994,0,0,0,0,0,0
31/8/2023,Envoy Air,"Corpus Christi, TX","Dallas/Fort Worth, TX",1217,1225,8,10,1235,1337,8,1349,1345,-4,92,80,62,354,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Las Vegas, NV","Denver, CO",1842,1835,-7,34,1909,2131,8,2145,2139,-6,123,124,82,628,0,0,0,0,0,0
31/8/2023,Alaska Airlines Inc.,"Tucson, AZ","Seattle, WA",1200,1153,-7,20,1213,1447,19,1514,1506,-8,194,193,154,1216,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Denver, CO","Charlotte, NC",1400,1352,-8,13,1405,1844,20,1920,1904,-16,200,192,159,1337,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Memphis, TN","Chicago, IL",1117,1122,5,30,1152,1310,13,1315,1323,8,118,121,78,491,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Houston, TX","New Orleans, LA",1950,1947,-3,8,1955,2039,3,2055,2042,-13,65,55,44,302,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Atlanta, GA","Springfield, MO",1005,1003,-2,14,1017,1036,5,1055,1041,-14,110,98,79,563,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Denver, CO","Houston, TX",1735,1730,-5,12,1742,2032,5,2050,2037,-13,135,127,110,862,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Newark, NJ","Minneapolis, MN",1835,1828,-7,13,1841,2002,3,2045,2005,-40,190,157,141,1008,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Fort Lauderdale, FL","Atlanta, GA",630,624,-6,17,641,800,10,820,810,-10,110,106,79,581,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"St. Louis, MO","Las Vegas, NV",2125,2130,5,12,2142,2256,22,2250,2318,28,205,228,194,1371,0,0,28,0,0,1
31/8/2023,American Airlines Inc.,"Norfolk, VA","Dallas/Fort Worth, TX",1545,1539,-6,11,1550,1730,12,1802,1742,-20,197,183,160,1212,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Sarasota/Bradenton, FL","Atlanta, GA",726,723,-3,11,734,838,11,905,849,-16,99,86,64,444,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"St. Louis, MO","Kansas City, MO",1155,1148,-7,11,1159,1239,5,1255,1244,-11,60,56,40,237,0,0,0,0,0,0
31/8/2023,PSA Airlines Inc.,"Charlotte, NC","Pensacola, FL",1120,1118,-2,26,1144,1201,4,1209,1205,-4,109,107,77,488,0,0,0,0,0,0
31/8/2023,PSA Airlines Inc.,"Washington, DC","Burlington, VT",1009,1136,87,19,1155,1304,3,1205,1307,62,116,91,69,437,62,0,0,0,0,2
31/8/2023,PSA Airlines Inc.,"Greer, SC","Charlotte, NC",1119,1119,0,11,1130,1154,13,1222,1207,-15,63,48,24,75,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Miami, FL","Chicago, IL",1233,1226,-7,12,1238,1415,17,1455,1432,-23,202,186,157,1197,0,0,0,0,0,0
