FL_DATE,AIRLINE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
31/8/2023,Endeavor Air Inc.,"New York, NY","Syracuse, NY",1050,1048,-2,18,1106,1150,6,1214,1156,-18,84,68,44,198,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Nashville, TN","Myrtle Beach, SC",1740,1736,-4,17,1753,1955,3,2005,1958,-7,85,82,62,471,0,0,0,0,0,0
31/8/2023,Spirit Air Lines,"San Juan, PR","Orlando, FL",2115,2256,101,13,2309,138,9,23,147,84,188,171,149,1189,0,0,84,0,0,2
31/8/2023,PSA Airlines Inc.,"Charlotte, NC","Gulfport/Biloxi, MS",1126,1123,-3,33,1156,1221,2,1223,1223,0,117,120,85,577,0,0,0,0,0,0
31/8/2023,Alaska Airlines Inc.,"Boston, MA","San Diego, CA",1825,1817,-8,22,1839,2111,19,2140,2130,-10,375,373,332,2588,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Boston, MA","Chicago, IL",1158,1154,-4,12,1206,1312,14,1345,1326,-19,167,152,126,867,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"St. Louis, MO","Atlanta, GA",1635,1641,6,15,1656,1901,9,1910,1910,0,95,89,65,484,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Austin, TX","Denver, CO",2020,2056,36,14,2110,2154,8,2135,2202,27,135,126,104,775,4,0,0,0,23,1
31/8/2023,SkyWest Airlines Inc.,"Dallas/Fort Worth, TX","Albuquerque, NM",1650,1644,-6,25,1709,1733,4,1748,1737,-11,118,113,84,569,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Baltimore, MD","Columbus, OH",1445,1444,-1,21,1505,1558,3,1605,1601,-4,80,77,53,337,0,0,0,0,0,0
31/8/2023,Envoy Air,"Indianapolis, IN","Chicago, IL",1559,1555,-4,20,1615,1557,7,1615,1604,-11,76,69,42,177,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"San Francisco, CA","Las Vegas, NV",1924,2031,67,27,2058,2204,11,2103,2215,72,99,104,66,414,0,0,72,0,0,2
31/8/2023,Delta Air Lines Inc.,"Portland, ME","Detroit, MI",1700,1657,-3,12,1709,1847,7,1905,1854,-11,125,117,98,668,0,0,0,0,0,0
31/8/2023,JetBlue Airways,"New York, NY","Miami, FL",1130,1129,-1,55,1224,1502,13,1437,1515,38,187,226,158,1089,0,0,38,0,0,1
31/8/2023,American Airlines Inc.,"Miami, FL","Washington, DC",1345,1348,3,38,1426,1630,3,1626,1633,7,161,165,124,919,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Kona, HI","San Francisco, CA",1305,1335,30,13,1348,2126,4,2101,2130,29,296,295,278,2367,29,0,0,0,0,1
31/8/2023,Southwest Airlines Co.,"Memphis, TN","Dallas, TX",1550,1555,5,13,1608,1707,5,1710,1712,2,80,77,59,423,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Baltimore, MD","Tampa, FL",615,611,-4,22,633,836,3,830,839,9,135,148,123,842,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Chicago, IL","Fargo, ND",1955,1955,0,46,2041,2207,6,2155,2213,18,120,138,86,557,18,0,0,0,0,1
31/8/2023,Allegiant Air,"Pasco/Kennewick/Richland, WA","Phoenix, AZ",2035,2035,0,15,2050,2311,12,2302,2323,21,147,168,141,977,0,0,21,0,0,1
31/8/2023,Spirit Air Lines,"Chicago, IL","Miami, FL",1316,1312,-4,12,1324,1742,7,1725,1749,24,189,217,198,1197,0,0,24,0,0,1
31/8/2023,United Air Lines Inc.,"Seattle, WA","San Francisco, CA",1312,1305,-7,12,1317,1500,9,1524,1509,-15,132,124,103,679,0,0,0,0,0,0
31/8/2023,JetBlue Airways,"Kansas City, MO","New York, NY",936,935,-1,15,950,1311,15,1329,1326,-3,173,171,141,1113,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Pittsburgh, PA","Chicago, IL",715,717,2,14,731,733,2,745,735,-10,90,78,62,402,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Salt Lake City, UT","Detroit, MI",1800,1753,-7,17,1810,2301,10,2331,2311,-20,211,198,171,1481,0,0,0,0,0,0
31/8/2023,Alaska Airlines Inc.,"Charleston, SC","Seattle, WA",1635,1627,-8,18,1645,1858,6,1922,1904,-18,347,337,313,2415,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Denver, CO","Sacramento, CA",840,909,29,14,923,1027,3,1005,1030,25,145,141,124,909,25,0,0,0,0,1
31/8/2023,Alaska Airlines Inc.,"Seattle, WA","Ontario, CA",2130,2229,59,27,2256,111,6,2359,117,78,149,168,135,956,59,0,19,0,0,2
31/8/2023,Allegiant Air,"Sarasota/Bradenton, FL","Washington, DC",1100,1206,66,11,1217,1400,4,1326,1404,38,146,118,103,849,38,0,0,0,0,1
31/8/2023,Delta Air Lines Inc.,"Atlanta, GA","Memphis, TN",1621,1618,-3,10,1628,1619,3,1640,1622,-18,79,64,51,332,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Minneapolis, MN","Aberdeen, SD",2125,2120,-5,19,2139,2225,5,2225,2230,5,60,70,46,257,0,0,0,0,0,0
31/8/2023,Hawaiian Airlines Inc.,"Lihue, HI","Honolulu, HI",1935,1927,-8,7,1934,2001,9,2011,2010,-1,36,43,27,102,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Orlando, FL","Denver, CO",950,947,-3,14,1001,1117,6,1135,1123,-12,225,216,196,1546,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Miami, FL","Raleigh/Durham, NC",2025,2025,0,43,2108,2248,11,2237,2259,22,132,154,100,700,0,0,22,0,0,1
31/8/2023,United Air Lines Inc.,"Omaha, NE","San Francisco, CA",600,558,-2,13,611,728,3,735,731,-4,215,213,197,1433,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Baltimore, MD","San Juan, PR",835,837,2,21,858,1248,3,1245,1251,6,250,254,230,1565,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Fayetteville, AR","Chicago, IL",1350,1340,-10,14,1354,1514,10,1548,1524,-24,118,104,80,522,0,0,0,0,0,0
31/8/2023,Republic Airline,"New York, NY","Pittsburgh, PA",1426,1419,-7,21,1440,1537,3,1612,1540,-32,106,81,57,335,0,0,0,0,0,0
31/8/2023,Alaska Airlines Inc.,"Boston, MA","San Francisco, CA",700,740,40,17,757,1056,6,1036,1102,26,396,382,359,2704,0,0,0,0,26,1
31/8/2023,Endeavor Air Inc.,"Montgomery, AL","Atlanta, GA",1835,1936,61,27,2003,2131,16,2052,2147,55,77,71,28,147,0,0,0,0,55,1
31/8/2023,United Air Lines Inc.,"San Jose, CA","Denver, CO",1559,1602,3,14,1616,1919,6,1939,1925,-14,160,143,123,948,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Chicago, IL","Aspen, CO",1945,1947,2,18,2005,2121,3,2138,2124,-14,173,157,136,1013,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Denver, CO","Austin, TX",655,706,11,14,720,956,4,1000,1000,0,125,114,96,775,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Anchorage, AK","Chicago, IL",2056,2102,6,16,2118,534,9,607,543,-24,371,341,316,2846,0,0,0,0,0,0
31/8/2023,JetBlue Airways,"New York, NY","San Juan, PR",939,938,-1,18,956,1309,4,1340,1313,-27,241,215,193,1598,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Atlanta, GA","Fort Myers, FL",2150,2143,-7,11,2154,2315,5,2325,2320,-5,95,97,81,515,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Baltimore, MD","West Palm Beach/Palm Beach, FL",1900,1936,36,11,1947,2147,5,2130,2152,22,150,136,120,883,22,0,0,0,0,1
31/8/2023,Delta Air Lines Inc.,"Seattle, WA","Sacramento, CA",1740,1750,10,13,1803,1930,7,1927,1937,10,107,107,87,605,0,0,0,0,0,0
31/8/2023,JetBlue Airways,"Orlando, FL","Aguadilla, PR",501,451,-10,15,506,732,4,744,736,-8,163,165,146,1129,0,0,0,0,0,0
